高騰 M1 名詞-サ変接続 O
など M9 助詞-副助詞 O
から M9 助詞-格助詞-一般 O
九 S6 名詞-数 O
事業 M1 名詞-一般 O
すべて M9 名詞-副詞可能 O
が S9 助詞-格助詞-一般 O
赤字 M1 名詞-一般 O
。 S2 記号-句点 O

赤字 M1 名詞-一般 O
総額 M1 名詞-一般 O
は S9 助詞-係助詞 O
千五百七十三億円 T6-1 名詞-数 O

　 S13 記号-空白 O
【 S2 記号-括弧開 O
バス M10 名詞-一般 O
】 S2 記号-括弧閉 O
年間 M1 名詞-一般 O
輸送 M1 名詞-サ変接続 O
人員 M1 名詞-一般 O
は S9 助詞-係助詞 O
三 S6 名詞-数 O
万人 T6-1 名詞-一般 O
減っ T1-9 動詞-自立 O
た S9 助動詞 O
が S9 助詞-格助詞-一般 O
、 S2 記号-読点 O
料金 M1 名詞-一般 O
収入 M1 名詞-一般 O
が S9 助詞-格助詞-一般 O
横ばい T1-9 名詞-サ変接続 O
だっ M9 助動詞 O
たこ M9 名詞-一般 O
とも M9 助詞-副助詞 O
あり M9 動詞-自立 O
十 S6 名詞-数 B-MONEY
円 S1 名詞-一般 I-MONEY
の S9 助詞-連体化 O
黒字 M1 名詞-一般 O

　 S13 記号-空白 O
【 S2 記号-括弧開 O
病院 M1 名詞-一般 O
】 S2 記号-括弧閉 O
七百三十八事業 T6-1 名詞-数 O
の S9 助詞-連体化 O
うち M9 名詞-非自立-副詞可能 O
黒字 M1 名詞-一般 O
は S9 助詞-係助詞 O
三五 M6 名詞-一般 O
・ S2 記号-一般 O
五 S6 名詞-数 B-PERCENT
％ S2 名詞-接尾-助数詞 I-PERCENT
、 S2 記号-読点 O
赤字 M1 名詞-一般 O
は S9 助詞-係助詞 O
六 S6 名詞-数 B-PERCENT
・ S2 記号-一般 I-PERCENT
五 S6 名詞-数 I-PERCENT
％ S2 名詞-接尾-助数詞 I-PERCENT
。 S2 記号-句点 O

千百四十二億円 T6-1 名詞-数 O
の S9 助詞-連体化 O
赤字 M1 名詞-一般 O

　 S13 記号-空白 O
【 S2 記号-括弧開 O
下水道 M1 名詞-一般 O
】 S2 記号-括弧閉 O
建設 M1 名詞-サ変接続 O
投資 M1 名詞-サ変接続 O
額 S1 名詞-一般 O
は S9 助詞-係助詞 O
四兆四千五百十一億円 T6-1 名詞-数 O
（ S2 記号-括弧開 O
前年度 M1 名詞-副詞可能 O
比 S1 名詞-一般 O
五千七百八十三億円増 T6-1 名詞-数 O
） S2 記号-括弧閉 O
と S9 助詞-格助詞-引用 O
地方 M1 名詞-一般 O
公営 M1 名詞-一般 O
企業 M1 名詞-一般 O
の S9 助詞-連体化 O
建設 M1 名詞-サ変接続 O
投資 M1 名詞-サ変接続 O
額 S1 名詞-一般 O
の S9 助詞-連体化 O
五 S6 名詞-数 B-PERCENT
・ S2 記号-一般 I-PERCENT
二 S6 名詞-数 I-PERCENT
％ S2 名詞-接尾-助数詞 I-PERCENT
を S9 助詞-格助詞-一般 O
占める T1-9 動詞-自立 O
。 S2 記号-句点 O

ノーベル M10 名詞-固有名詞-人名-一般 B-ARTIFACT
文学 M1 名詞-一般 I-ARTIFACT
賞 S1 名詞-一般 I-ARTIFACT
授賞 M1 名詞-サ変接続 O
式 S1 名詞-一般 O
の S9 助詞-連体化 O
大江 M1 名詞-固有名詞-人名-姓 B-PERSON
健三郎 T6-1 名詞-固有名詞-人名-名 I-PERSON
さん M9 名詞-接尾-人名 O
、 S2 記号-読点 O
晩さん T1-9 名詞-一般 O
会 S1 名詞-一般 O
で S9 助動詞 O
の S9 助詞-連体化 O
あいさつ M9 名詞-サ変接続 O
全文 M1 名詞-一般 O

　 S13 記号-空白 O
◇ S2 記号-一般 O
ニルス M10 名詞-固有名詞-人名-一般 B-LOCATION
から M9 助詞-格助詞-一般 O
源氏物語 M1 名詞-固有名詞-一般 B-LOCATION
へ S9 助詞-格助詞-一般 O
… S2 記号-一般 O
雁 S1 名詞-一般 O
が S9 助詞-格助詞-一般 O
導く T1-9 動詞-自立 O
魂 S1 名詞-一般 O
の S9 助詞-連体化 O
行方 M1 名詞-一般 O

　 S13 記号-空白 O
授賞 M1 名詞-サ変接続 O
式 S1 名詞-一般 O
後 S1 名詞-非自立-副詞可能 O
の S9 助詞-連体化 O
晩さん T1-9 名詞-一般 O
会 S1 名詞-一般 O
で S9 助動詞 O
、 S2 記号-読点 O
大江 M1 名詞-固有名詞-人名-姓 B-PERSON
さん M9 名詞-接尾-人名 O
は S9 助詞-係助詞 O
感謝 M1 名詞-サ変接続 O
の S9 助詞-連体化 O
スピーチ M10 名詞-サ変接続 O
を S9 助詞-格助詞-一般 O
英語 M1 名詞-一般 O
で S9 助動詞 O
行う T1-9 動詞-自立 O
。 S2 記号-句点 O

その M9 連体詞 O
全文 M1 名詞-一般 O
は S9 助詞-係助詞 O
次 S1 名詞-一般 O
の S9 助詞-連体化 O
通り T1-9 名詞-一般 O
。 S2 記号-句点 O

　 S13 記号-空白 O
　 S13 記号-空白 O
　 S13 記号-空白 O
＝ S2 記号-一般 O
　 S13 記号-空白 O
◇ S2 記号-一般 O
　 S13 記号-空白 O
＝ S2 記号-一般 O

　 S13 記号-空白 O
私 S1 名詞-代名詞-一般 O
は S9 助詞-係助詞 O
ニルス M10 名詞-固有名詞-人名-一般 O
・ S2 記号-一般 O
ホーゲルソン M10 名詞-固有名詞-人名-姓 B-PERSON
に S9 助詞-格助詞-一般 O
全面 M1 名詞-一般 O
的 S1 名詞-接尾-形容動詞語幹 O
な S9 助詞-終助詞 O
影響 M1 名詞-サ変接続 O
を S9 助詞-格助詞-一般 O
受け T1-9 動詞-自立 O
て S9 助詞-接続助詞 O
、 S2 記号-読点 O
幼 S1 形容詞-自立 O
・ S2 記号-一般 O
少年 M1 名詞-一般 O
時 S1 名詞-非自立-副詞可能 O
を S9 助詞-格助詞-一般 O
すごし M9 形容詞-自立 O
た S9 助動詞 O
、 S2 記号-読点 O
奇妙 M1 名詞-形容動詞語幹 O
な S9 助詞-終助詞 O
日本人 M1 名詞-一般 O
です M9 助動詞 O
。 S2 記号-句点 O

スウェーデン M10 名詞-固有名詞-地域-国 B-LOCATION
の S9 助詞-連体化 O
美しい T1-9 形容詞-自立 O
土地 M1 名詞-一般 O
の S9 助詞-連体化 O
名前 M1 名詞-一般 O
を S9 助詞-格助詞-一般 O
、 S2 記号-読点 O
自分 M1 名詞-一般 O
の S9 助詞-連体化 O
国 S1 名詞-一般 O
の S9 助詞-連体化 O
地名 M1 名詞-一般 O
より M9 副詞-一般 O
詳しく T1-9 形容詞-自立 O
いう M9 動詞-自立 O
こと M9 名詞-非自立-一般 O
が S9 助詞-格助詞-一般 O
でき M9 動詞-自立 O
た S9 助動詞 O
時期 M1 名詞-副詞可能 O
が S9 助詞-格助詞-一般 O
ある M9 動詞-自立 O
ほど M9 助詞-副助詞 O
です M9 助動詞 O
。 S2 記号-句点 O

私 S1 名詞-代名詞-一般 O
は S9 助詞-係助詞 O
『 S2 記号-括弧開 O
源氏物語 M1 名詞-固有名詞-一般 B-ARTIFACT
』 S2 記号-括弧閉 O
に S9 助詞-格助詞-一般 O
冷淡 M1 名詞-形容動詞語幹 O
でし M9 助動詞 O
た S9 助動詞 O
。 S2 記号-句点 O

その M9 連体詞 O
作者 M1 名詞-一般 O
、 S2 記号-読点 O
レディ M10 名詞-一般 O
紫式部 M1 名詞-固有名詞-人名-一般 B-PERSON
より M9 副詞-一般 O
も S9 助詞-係助詞 O
、 S2 記号-読点 O
セルマ M10 名詞-固有名詞-人名-名 B-PERSON
・ S2 記号-一般 I-PERSON
ラーゲルレーブ M10 名詞-固有名詞-人名-姓 I-PERSON
に S9 助詞-格助詞-一般 O
親しみ T1-9 名詞-一般 O
と S9 助詞-格助詞-引用 O
敬意 M1 名詞-サ変接続 O
を S9 助詞-格助詞-一般 O
抱い T1-9 動詞-自立 O
て S9 助詞-接続助詞 O
いま M9 名詞-副詞可能 O
した M9 名詞-一般 O
。 S2 記号-句点 O

ところが M9 接続詞 O
、 S2 記号-読点 O
やはり M9 副詞-一般 O
雁 S1 名詞-一般 O
（ S2 記号-括弧開 O
がん M9 名詞-一般 O
） S2 記号-括弧閉 O
の S9 助詞-連体化 O
仲介 M1 名詞-サ変接続 O
によって M9 助詞-格助詞-連語 O
、 S2 記号-読点 O
私 S1 名詞-代名詞-一般 O
は S9 助詞-係助詞 O
『 S2 記号-括弧開 O
源氏物語 M1 名詞-固有名詞-一般 B-ARTIFACT
』 S2 記号-括弧閉 O
を S9 助詞-格助詞-一般 O
再 S1 接頭詞-名詞接続 O
発見 M1 名詞-サ変接続 O
した M9 名詞-一般 O
の S9 助詞-連体化 O
です M9 助動詞 O
。 S2 記号-句点 O

　 S13 記号-空白 O
その M9 連体詞 O
ヒーロー M10 名詞-一般 O
、 S2 記号-読点 O
光源氏 M1 名詞-固有名詞-人名-一般 B-PERSON
は S9 助詞-係助詞 O
夢 S1 名詞-一般 O
に S9 助詞-格助詞-一般 O
さえ M9 助詞-係助詞 O
現れ T1-9 名詞-一般 O
ない M9 形容詞-自立 O
、 S2 記号-読点 O
亡くなっ T1-9 動詞-自立 O
た S9 助動詞 O
人 S1 名詞-一般 O
の S9 助詞-連体化 O
魂 S1 名詞-一般 O
の S9 助詞-連体化 O
行方 M1 名詞-一般 O
を S9 助詞-格助詞-一般 O
探し T1-9 動詞-自立 O
て S9 助詞-接続助詞 O
くれ M9 動詞-自立 O
、 S2 記号-読点 O
と S9 助詞-格助詞-引用 O
空 S1 名詞-一般 O
を S9 助詞-格助詞-一般 O
飛ぶ T1-9 動詞-自立 O
雁 S1 名詞-一般 O
に S9 助詞-格助詞-一般 O
呼びかけ T1-9 動詞-自立 O
ます M9 助動詞 O
。 S2 記号-句点 O

　 S13 記号-空白 O
私 S1 名詞-代名詞-一般 O
が S9 助詞-格助詞-一般 O
ニルス M10 名詞-固有名詞-人名-一般 B-PERSON
に S9 助詞-格助詞-一般 O
みち M9 名詞-一般 O
びかれて M9 名詞-一般 O
、 S2 記号-読点 O
西欧 M1 名詞-固有名詞-地域-一般 B-LOCATION
の S9 助詞-連体化 O
文学 M1 名詞-一般 O
に S9 助詞-格助詞-一般 O
もとめ M9 動詞-自立 O
てき M9 動詞-非自立 O
たのも M9 動詞-自立 O
、 S2 記号-読点 O
魂 S1 名詞-一般 O
の S9 助詞-連体化 O
行方 M1 名詞-一般 O
なの M9 動詞-自立 O
です M9 助動詞 O
。 S2 記号-句点 O

日本人 M1 名詞-一般 O
として M9 助詞-格助詞-連語 O
の S9 助詞-連体化 O
文学 M1 名詞-一般 O
、 S2 記号-読点 O
文化 M1 名詞-一般 O
の S9 助詞-連体化 O
探究 M1 名詞-サ変接続 O
が S9 助詞-格助詞-一般 O
、 S2 記号-読点 O
いくらか M9 副詞-一般 O
でも M9 助詞-副助詞 O
西欧 M1 名詞-固有名詞-地域-一般 B-LOCATION
にたいして M9 助詞-格助詞-連語 O
、 S2 記号-読点 O
おかえし M9 名詞-一般 O
を S9 助詞-格助詞-一般 O
する M9 動詞-自立 O
こと M9 名詞-非自立-一般 O
が S9 助詞-格助詞-一般 O
できる M9 動詞-自立 O
こと M9 名詞-非自立-一般 O
を S9 助詞-格助詞-一般 O
私 S1 名詞-代名詞-一般 O
は S9 助詞-係助詞 O
ねがっ M9 動詞-自立 O
てい M9 名詞-一般 O
ます M9 助動詞 O
。 S2 記号-句点 O

そのため M9 副詞-一般 O
の S9 助詞-連体化 O
機会 M1 名詞-一般 O
を S9 助詞-格助詞-一般 O
、 S2 記号-読点 O
この M9 連体詞 O
賞 S1 名詞-一般 O
はあ M9 感動詞 O
た S9 助動詞 O
えて M9 副詞-一般 O
くれ M9 動詞-自立 O
た S9 助動詞 O
ので M9 助詞-接続助詞 O
は S9 助詞-係助詞 O
ない M9 形容詞-自立 O
でしょ M9 助動詞 O
うか M9 動詞-自立 O
？ S2 記号-一般 O

　 S13 記号-空白 O
しかし M9 接続詞 O
、 S2 記号-読点 O
まだ M9 副詞-助詞類接続 O
、 S2 記号-読点 O
あたえ M9 動詞-自立 O
られる M9 動詞-接尾 O
もの M9 名詞-非自立-一般 O
のみ M9 助詞-副助詞 O
多く T1-9 名詞-副詞可能 O
、 S2 記号-読点 O
おかえし M9 名詞-一般 O
は S9 助詞-係助詞 O
始まっ T1-9 動詞-自立 O
たばかり M9 動詞-自立 O
。 S2 記号-句点 O

この M9 連体詞 O
すばらしい M9 形容詞-自立 O
晩さん T1-9 名詞-一般 O
も S9 助詞-係助詞 O
、 S2 記号-読点 O
あたえ M9 動詞-自立 O
られる M9 動詞-接尾 O
ものの M9 助詞-接続助詞 O
ひとつ M9 名詞-副詞可能 O
です M9 助動詞 O
。 S2 記号-句点 O

ベトナム M10 名詞-固有名詞-地域-国 B-LOCATION
の S9 助詞-連体化 O
ドク M10 名詞-固有名詞-人名-名 B-PERSON
君 S1 名詞-代名詞-一般 O
が S9 助詞-格助詞-一般 O
再 S1 接頭詞-名詞接続 O
手術 M1 名詞-サ変接続 O
の S9 助詞-連体化 O
為 S1 名詞-非自立-副詞可能 O
に S9 助詞-格助詞-一般 O
来春 M1 名詞-副詞可能 O
来日 M1 名詞-サ変接続 O
　 S13 記号-空白 O
資金 M1 名詞-一般 O
募集 M1 名詞-サ変接続 O
　 S13 記号-空白 O
【 S2 記号-括弧開 O
大阪 M1 名詞-固有名詞-地域-一般 B-LOCATION
】 S2 記号-括弧閉 O

　 S13 記号-空白 O
結合 M1 名詞-サ変接続 O
体 S1 名詞-一般 O
双生児 M1 名詞-一般 O
だっ M9 助動詞 O
た S9 助動詞 O
ベトナム M10 名詞-固有名詞-地域-国 B-LOCATION
の S9 助詞-連体化 O
ベト M10 名詞-固有名詞-人名-名 B-PERSON
君 S1 名詞-代名詞-一般 I-PERSON
、 S2 記号-読点 O
ドク M10 名詞-固有名詞-人名-名 B-PERSON
君 S1 名詞-代名詞-一般 O
（ S2 記号-括弧開 O
ともに M9 副詞-一般 O
十 S6 名詞-数 O
三歳 T6-1 名詞-固有名詞-地域-一般 O
） S2 記号-括弧閉 O
の S9 助詞-連体化 O
うち M9 名詞-非自立-副詞可能 O
、 S2 記号-読点 O
弟 S1 名詞-一般 O
の S9 助詞-連体化 O
ドク M10 名詞-固有名詞-人名-名 B-PERSON
君 S1 名詞-代名詞-一般 O
が S9 助詞-格助詞-一般 O
自然 M1 名詞-形容動詞語幹 O
排便 M1 名詞-サ変接続 O
できる M9 動詞-自立 O
よう M9 名詞-非自立-助動詞語幹 O
に S9 助詞-格助詞-一般 O
、 S2 記号-読点 O
来年 M1 名詞-副詞可能 B-DATE
四月 T6-1 名詞-副詞可能 I-DATE
に S9 助詞-格助詞-一般 O
も S9 助詞-係助詞 O
来日 M1 名詞-サ変接続 O
、 S2 記号-読点 O
手術 M1 名詞-サ変接続 O
を S9 助詞-格助詞-一般 O
受ける T1-9 動詞-自立 O
こと M9 名詞-非自立-一般 O
が S9 助詞-格助詞-一般 O
決まっ T1-9 動詞-自立 O
た S9 助動詞 O
。 S2 記号-句点 O

ドク M10 名詞-固有名詞-人名-名 B-PERSON
君 S1 名詞-代名詞-一般 O
は S9 助詞-係助詞 O
現在 M1 名詞-副詞可能 O
、 S2 記号-読点 O
人工 M1 名詞-一般 O
こう門 T9-1 名詞-一般 O
を S9 助詞-格助詞-一般 O
取り付け T1-9 名詞-一般 O
て S9 助詞-接続助詞 O
いる M9 動詞-非自立 O
が S9 助詞-格助詞-一般 O
、 S2 記号-読点 O
自然 M1 名詞-形容動詞語幹 O
排便 M1 名詞-サ変接続 O
で S9 助動詞 O
発育 M1 名詞-サ変接続 O
など M9 助詞-副助詞 O
が S9 助詞-格助詞-一般 O
良く T1-9 形容詞-自立 O
なる M9 動詞-自立 O
という M9 助詞-格助詞-連語 O
。 S2 記号-句点 O

兄弟 M1 名詞-一般 O
が S9 助詞-格助詞-一般 O
生活 M1 名詞-サ変接続 O
する M9 動詞-自立 O
国立 M1 名詞-一般 O
ツーズー病院 T10-1 名詞-固有名詞-組織 O
（ S2 記号-括弧開 O
ホーチミン M10 名詞-固有名詞-地域-一般 B-LOCATION
市 S1 名詞-一般 I-LOCATION
） S2 記号-括弧閉 O
から M9 助詞-格助詞-一般 O
「 S2 記号-括弧開 O
ベト M10 名詞-固有名詞-人名-名 B-PERSON
ちゃんと M9 副詞-一般 O
ドク M10 名詞-固有名詞-人名-名 B-PERSON
ちゃん M9 名詞-接尾-人名 O
の S9 助詞-連体化 O
発達 M1 名詞-サ変接続 B-ORGANIZATION
を S9 助詞-格助詞-一般 I-ORGANIZATION
願う T1-9 動詞-自立 I-ORGANIZATION
会 S1 名詞-一般 I-ORGANIZATION
」 S2 記号-括弧閉 O
（ S2 記号-括弧開 O
事務 M1 名詞-一般 O
局 S1 名詞-サ変接続 O
・ S2 記号-一般 O
福井 M1 名詞-固有名詞-地域-一般 B-LOCATION
県 S1 名詞-一般 O
三方町向笠 T6-1 名詞-数 O
） S2 記号-括弧閉 O
に S9 助詞-格助詞-一般 O
援助 M1 名詞-サ変接続 O
を S9 助詞-格助詞-一般 O
求める T1-9 動詞-自立 O
手紙 M1 名詞-一般 O
が S9 助詞-格助詞-一般 O
届き T1-9 動詞-自立 O
、 S2 記号-読点 O
同 S1 接頭詞-名詞接続 O
会 S1 名詞-一般 O
は S9 助詞-係助詞 O
近く T1-9 名詞-副詞可能 O
渡航 M1 名詞-サ変接続 O
滞在 M1 名詞-サ変接続 O
費 S1 名詞-接尾-一般 O
の S9 助詞-連体化 O
募金 M1 名詞-サ変接続 O
を S9 助詞-格助詞-一般 O
始める T1-9 動詞-自立 O
。 S2 記号-句点 O

すでに M9 副詞-一般 O
三重大 T6-1 名詞-固有名詞-組織 B-ORGANIZATION
医学部 M1 名詞-一般 O
付属 M1 名詞-サ変接続 O
病院 M1 名詞-一般 O
が S9 助詞-格助詞-一般 O
受け入れ T1-9 名詞-一般 O
準備 M1 名詞-サ変接続 O
を S9 助詞-格助詞-一般 O
始めて T1-9 副詞-一般 O
いる M9 動詞-非自立 O
。 S2 記号-句点 O

　 S13 記号-空白 O
ベトナム M10 名詞-固有名詞-地域-国 B-LOCATION
戦争 M1 名詞-サ変接続 O
の S9 助詞-連体化 O
枯れ葉 T9-1 名詞-一般 O
剤 S1 名詞-接尾-一般 O
の S9 助詞-連体化 O
影響 M1 名詞-サ変接続 O
で S9 助動詞 O
結合 M1 名詞-サ変接続 O
体 S1 名詞-一般 O
双生児 M1 名詞-一般 O
として M9 助詞-格助詞-連語 O
生まれ T1-9 名詞-一般 O
た S9 助動詞 O
二 S6 名詞-数 O
人 S1 名詞-一般 O
は S9 助詞-係助詞 O
一九八八年 T6-1 名詞-数 O
、 S2 記号-読点 O
ツーズー病院 T10-1 名詞-固有名詞-組織 B-ORGANIZATION
で S9 助動詞 O
分離 M1 名詞-サ変接続 O
手術 M1 名詞-サ変接続 O
を S9 助詞-格助詞-一般 O
受け T1-9 動詞-自立 O
た S9 助動詞 O
。 S2 記号-句点 O

しかし M9 接続詞 O
、 S2 記号-読点 O
二 S6 名詞-数 O
人 S1 名詞-一般 O
で S9 助動詞 O
分け合っ T1-9 動詞-自立 O
たため M9 動詞-自立 O
大腸 M1 名詞-一般 O
が S9 助詞-格助詞-一般 O
短く T1-9 形容詞-自立 O
、 S2 記号-読点 O
人工 M1 名詞-一般 O
こう門 T9-1 名詞-一般 O
で S9 助動詞 O
生活 M1 名詞-サ変接続 O
。 S2 記号-句点 O

現在 M1 名詞-副詞可能 O
、 S2 記号-読点 O
ベト M10 名詞-固有名詞-人名-名 B-PERSON
君 S1 名詞-代名詞-一般 O
は S9 助詞-係助詞 O
寝たきり T1-9 名詞-一般 O
の S9 助詞-連体化 O
状態 M1 名詞-一般 O
。 S2 記号-句点 O

ドク M10 名詞-固有名詞-人名-名 B-PERSON
君 S1 名詞-代名詞-一般 O
は S9 助詞-係助詞 O
義足 M1 名詞-一般 O
を S9 助詞-格助詞-一般 O
つけ M9 名詞-一般 O
て S9 助詞-接続助詞 O
病院 M1 名詞-一般 O
内 S1 名詞-一般 O
を S9 助詞-格助詞-一般 O
自由 M1 名詞-形容動詞語幹 O
に S9 助詞-格助詞-一般 O
歩い T1-9 動詞-自立 O
て S9 助詞-接続助詞 O
いる M9 動詞-非自立 O
が S9 助詞-格助詞-一般 O
、 S2 記号-読点 O
短い T1-9 形容詞-自立 O
大腸 M1 名詞-一般 O
の S9 助詞-連体化 O
ため M9 名詞-非自立-副詞可能 O
栄養 M1 名詞-一般 O
の S9 助詞-連体化 O
吸収 M1 名詞-サ変接続 O
が S9 助詞-格助詞-一般 O
悪く T1-9 形容詞-自立 O
、 S2 記号-読点 O
発育 M1 名詞-サ変接続 O
が S9 助詞-格助詞-一般 O
遅れ T1-9 名詞-一般 O
て S9 助詞-接続助詞 O
いる M9 動詞-非自立 O
。 S2 記号-句点 O

［ S2 記号-括弧開 O
ガイドブック M10 名詞-一般 O
］ S2 記号-括弧閉 O
浅間温泉 M1 名詞-固有名詞-地域-一般 B-ORGANIZATION
国際 M1 名詞-一般 I-ORGANIZATION
スケート M10 名詞-一般 I-ORGANIZATION
センター M10 名詞-一般 I-ORGANIZATION

　 S13 記号-空白 O
◇ S2 記号-一般 O
プロフィル M10 名詞-一般 O
　 S13 記号-空白 O
当初 M1 名詞-副詞可能 O
、 S2 記号-読点 O
青森 M1 名詞-固有名詞-地域-一般 O
県 S1 名詞-一般 O
に S9 助詞-格助詞-一般 O
建設 M1 名詞-サ変接続 O
さ S9 助詞-終助詞 O
れる M9 動詞-接尾 O
予定 M1 名詞-サ変接続 O
だっ M9 助動詞 O
た S9 助動詞 O
が S9 助詞-格助詞-一般 O
、 S2 記号-読点 O
十勝 T6-1 名詞-固有名詞-地域-一般 B-LOCATION
沖 S1 名詞-一般 O
地震 M1 名詞-一般 O
により M9 助詞-格助詞-連語 O
計画 M1 名詞-サ変接続 O
中止 M1 名詞-サ変接続 O
。 S2 記号-句点 O

場所 M1 名詞-一般 O
を S9 助詞-格助詞-一般 O
長野 M1 名詞-固有名詞-地域-一般 B-LOCATION
県 S1 名詞-一般 I-LOCATION
に S9 助詞-格助詞-一般 O
移し T1-9 動詞-自立 O
、 S2 記号-読点 O
体育 M1 名詞-一般 O
施設 M1 名詞-サ変接続 O
整備 M1 名詞-サ変接続 O
補助 M1 名詞-サ変接続 O
金 S1 名詞-一般 O
を S9 助詞-格助詞-一般 O
使っ T1-9 動詞-自立 O
て S9 助詞-接続助詞 O
１９６８ M5 名詞-数 O
年 S1 名詞-一般 O
建設 M1 名詞-サ変接続 O
が S9 助詞-格助詞-一般 O
開始 M1 名詞-サ変接続 O
され M9 動詞-自立 O
、 S2 記号-読点 O
翌 S1 接頭詞-数接続 O
６ S5 名詞-数 B-DATE
年 S1 名詞-一般 I-DATE
１１月 T5-1 名詞-副詞可能 I-DATE
に S9 助詞-格助詞-一般 O
完成 M1 名詞-サ変接続 O
した M9 名詞-一般 O
。 S2 記号-句点 O

整地 M1 名詞-サ変接続 O
工事 M1 名詞-サ変接続 O
に S9 助詞-格助詞-一般 O
は S9 助詞-係助詞 O
自衛隊 M1 名詞-固有名詞-組織 B-ORGANIZATION
が S9 助詞-格助詞-一般 O
協力 M1 名詞-サ変接続 O
し S9 動詞-自立 O
て S9 助詞-接続助詞 O
いる M9 動詞-非自立 O
。 S2 記号-句点 O

毎年 M1 名詞-副詞可能 B-DATE
１２月 T5-1 名詞-副詞可能 I-DATE
中旬 M1 名詞-副詞可能 I-DATE
に S9 助詞-格助詞-一般 O
スピード M10 名詞-一般 O
スケート M10 名詞-一般 O
の S9 助詞-連体化 O
浅間 M1 名詞-固有名詞-地域-一般 B-LOCATION
選抜 M1 名詞-サ変接続 O
大会 M1 名詞-一般 O
が S9 助詞-格助詞-一般 O
開か T1-9 動詞-自立 O
れる M9 動詞-接尾 O
ほか M9 名詞-副詞可能 O
、 S2 記号-読点 O
９ S5 名詞-数 B-DATE
年 S1 名詞-一般 I-DATE
に S9 助詞-格助詞-一般 O
は S9 助詞-係助詞 O
ワールドカップ M10 名詞-固有名詞-一般 O
（ S2 記号-括弧開 O
Ｗ杯 T7-1 名詞-固有名詞-一般 O
） S2 記号-括弧閉 O
も S9 助詞-係助詞 O
開か T1-9 動詞-自立 O
れ S9 助動詞 O
た S9 助動詞 O
。 S2 記号-句点 O

　 S13 記号-空白 O
◇ S2 記号-一般 O
うつわ M9 名詞-一般 O
　 S13 記号-空白 O
敷地 M1 名詞-一般 O
面積 M1 名詞-一般 O
