A.D. Calvo
Ryuichi Hiroki
Remi Lange
Sacha Guitry
Sam Fuller
Sam Mendes
Sam Peckinpah
Sam Raimi
Sam Wanamaker
Sam Wood
Samson Chiu
Sarah Jacobson
Sarah Price
Satyajit Ray
Scott Treleaven
Sean Mathias
Sean Penn
Seijun Suzuki
Sergei Eisenstein
Sergio Leone
Shakti Samanta
Shion Sono
Shyam Benegal
Shohei Imamura
Sidney Lumet
Sidney Olcott
Sofia Coppola
Sophie Marceau
Souleymane Cisse
Spike Jonze
Spike Lee
Stanley Kramer
Stanley Kubrick
Stanley Kwan
Stephen Frears
Steve Barron
Steven F. Zambo
Steven Soderbergh
Steven Spielberg
Stuart Gordon
Stuart Rosenberg
Sun Yu
Sydney Pollack
Sylvester Stallone
Takashi Miike
Takeshi Kitano
Taylor Hackford
Ted Demme
Teinosuke Kinugasa
Tengiz Abuladze
Terence Davies
Terence Fisher
Terrence Malick
Terry Gilliam
Terry Zwigoff Tex Avery
Theo Angelopoulos
Theo van Gogh
Thomas Vinterberg
Tian Zhuangzhuang
Tim Burton
Timothy Tricker
Tobe Hooper
Tod Browning
Todd Field
Todd Haynes
Todd Solondz
Tom Barman
Tom Tykwer
Tony Kaye
Tony Richardson
Tony Scott
Travis Grosz
Trey Parker
Umberto Lenzi
Val Guest
Victor Fleming
Victor Sjostrom
Vincent Ward
Vinko Bresan
Vittorio De Sica
Volker Schlondorff
Vsevolod Pudovkin
Wachowski brothers
Walter Hill
Walter Lang
Walter Salles
Wang Quan'an
Wang Xiaoshuai
Warren Beatty
Werner Herzog
Wes Anderson
Wes Craven
William Dieterle
William Friedkin
William Malone
William Witney
William Wyler
Willy Lindwer
Wim Wenders
Wolfgang Petersen
Woody Allen
Xie Jin
Yamada Youji
Yash Chopra
Yasujiro Ozu
Yosri Nasrallah
Yrjo Norta
Yusif Chahine
Yves Allegret
Zbigniew Rybczyn'ski
Zhang Yang
Zhang Yimou
Zhang Yuan
Zheng Junli
Zoltan Korda
Zucker brothers
eric Rohmer
